Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
Amanda,9,4,129,Defender,Expert
Amanda,8,5,124,Defender,Expert
Amanda,8,4,120,Defender,Expert
Amanda,10,3,105,Defender,Expert
Amanda,8,4,101,Defender,Expert
Amanda,9,3,80,Defender,Expert
Amanda,9,4,191,Defender,Intermediate
Assdf,7,6,149,Defender,Expert
Michie,10,3,148,Defender,Expert
Nunnyg,9,4,146,Defender,Expert
Dffrt,11,2,132,Defender,Expert
Alif,9,4,127,Defender,Expert
Kelp,10,3,124,Defender,Expert
JRE,10,3,122,Defender,Expert
asdfGf,10,3,119,Defender,Expert
Hejjk,9,4,118,Defender,Expert
RealK,7,6,108,Defender,Expert
Vinny,7,6,238,Defender,Beginner
Leon,10,3,149,Defender,Expert
barbie,9,4,144,Defender,Expert
zani,9,4,139,Defender,Expert
ken,11,2,125,Defender,Expert
barbie,7,6,120,Defender,Expert
righardt,8,5,117,Defender,Expert
Leon,6,7,246,Attacker,Beginner
armin,4,9,222,Attacker,Beginner
waslap,6,7,128,Attacker,Beginner
waldo,5,8,94,Attacker,Beginner
moh,5,8,60,Attacker,Beginner
Aretse,8,5,137,Defender,Expert
Maropeng,9,4,125,Defender,Expert
Maropeng,9,4,118,Defender,Expert
Maropeng,9,4,116,Defender,Expert
maropeng,10,3,113,Defender,Expert
Maropeng,9,4,109,Defender,Expert
maropeng,4,9,158,Attacker,Beginner
maropeng,6,7,143,Attacker,Beginner
maropeng,5,8,132,Attacker,Beginner
Aretse,5,8,121,Attacker,Beginner
Maropeng,6,7,117,Attacker,Beginner
u24804500,8,5,160,Defender,Expert
u24804500,8,5,145,Defender,Expert
u24804500,9,4,108,Defender,Expert
u24804500,9,4,101,Defender,Expert
u24804500,8,5,94,Defender,Expert
u24804500,12,1,86,Defender,Expert
u24804500,9,4,179,Defender,Intermediate
u24804500,9,4,174,Defender,Intermediate
u24804500,7,6,164,Defender,Intermediate
Nosipho Ndlovu,7,6,464,Defender,Beginner
u24804500,5,7,135,Attacker,Beginner
u24804500,6,6,124,Draw,Beginner
Tank Dempsey,7,6,138,Defender,Expert
Jerry,9,4,124,Defender,Expert
Edward Richtofen,9,4,121,Defender,Expert
Tom and Jerry,9,4,117,Defender,Expert
Mickey Mouse and his sick clubhouse,9,4,99,Defender,Expert
Final One,9,4,98,Defender,Expert
Nicho,7,6,176,Defender,Intermediate
NicName,5,7,294,Attacker,Beginner
Jake Paul,7,6,202,Defender,Beginner
Arthur Morgan,5,8,186,Attacker,Beginner
Tom,6,6,135,Draw,Beginner
U21473669,9,4,135,Defender,Expert
U21473669,8,5,403,Defender,Beginner
U21473669,6,7,259,Attacker,Beginner
U21473669,7,6,202,Defender,Beginner
U21473669,5,8,145,Attacker,Beginner
gamerdamer,8,5,185,Defender,Intermediate
Letsgooo,7,6,1064,Defender,Beginner
Yooogamer,4,9,550,Attacker,Beginner
letsgame,4,9,390,Attacker,Beginner
gamedemo,6,7,200,Attacker,Beginner
dahaha,2,11,197,Attacker,Beginner
gametings,5,8,184,Attacker,Beginner
game,3,10,155,Attacker,Beginner
nickgame,6,7,119,Attacker,Beginner
cybergame,5,8,118,Attacker,Beginner
dopegame,3,10,102,Attacker,Beginner
johndoe,7,6,157,Defender,Expert
johndoe,8,5,112,Defender,Expert
johndoe,9,4,98,Defender,Expert
johndoe,9,4,89,Defender,Expert
johndoe,8,5,88,Defender,Expert
johndoe,9,4,87,Defender,Expert
johndoe,7,6,63,Defender,Expert
johndoe,5,8,190,Attacker,Beginner
johndoe,5,8,53,Attacker,Beginner
johndoe,6,7,51,Attacker,Beginner
johndoe,0,13,43,Attacker,Beginner
sydd,7,6,141,Defender,Expert
Aakill,7,6,161,Defender,Intermediate
gym,4,9,1099,Attacker,Beginner
zizi,4,8,400,Attacker,Beginner
zizi,8,5,244,Defender,Beginner
sydd,7,6,203,Defender,Beginner
zizi,6,7,176,Attacker,Beginner
zizi,6,7,166,Attacker,Beginner
MK,6,7,160,Attacker,Beginner
zizi,5,8,146,Attacker,Beginner
zizi,5,8,120,Attacker,Beginner
Round 6,7,6,126,Defender,Expert
Round 3,7,5,171,Defender,Intermediate
Ammaarah,4,9,228,Attacker,Beginner
Round 4,6,7,197,Attacker,Beginner
Round 2,3,10,174,Attacker,Beginner
Round 5,5,8,137,Attacker,Beginner
Round 7,5,8,105,Attacker,Beginner
Round 9,6,7,102,Attacker,Beginner
Round 8,5,8,102,Attacker,Beginner
Round 10,5,8,89,Attacker,Beginner
Round 11,5,8,81,Attacker,Beginner
Alim01,11,2,151,Defender,Expert
Alim01,9,4,125,Defender,Expert
Alim01,7,6,104,Defender,Expert
Alim01,9,4,98,Defender,Expert
Alim01,11,2,95,Defender,Expert
Alim01,9,4,91,Defender,Expert
Alim01,7,6,177,Defender,Intermediate
Alim01,5,8,314,Attacker,Beginner
Alim01,7,6,297,Defender,Beginner
Alim01,5,8,165,Attacker,Beginner
Barbie,9,4,108,Defender,Expert
Hughie,8,5,95,Defender,Expert
Otto Hightower,7,6,92,Defender,Expert
Homelander,7,6,190,Defender,Intermediate
10G,8,5,256,Defender,Beginner
PeterParker,6,7,136,Attacker,Beginner
Flo Milli,4,9,135,Attacker,Beginner
Princess,6,7,120,Attacker,Beginner
Hodor,5,8,114,Attacker,Beginner
